alias_count,avg_confidence,canonical_name,cleaned_name,continuity_score,dataset_count,datasets,entity_id,generic_ratio,merged_dataset_count,merged_datasets,merged_temporal_edges,milestone_type_count,milestone_types,normalized_name,qa_reason,qa_status,sector,temporal_edges
2,0.75,AIREKO,AIREKO SERVICES INSTALATION INC,438.75,2,"{""pr_contracts_master.csv"": 157, ""pr_subawards_master.csv"": 270}",prepa:aireko_services_instalation_inc,0.5,2,pr_contracts_master.csv;pr_subawards_master.csv,512,4,"{""restructuring"": 103, ""reconstruction"": 118, ""privatization"": 134, ""generation"": 72}",AIREKO SERVICES INSTALATION INC,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,427
1,0.75,BEST GENERAL SERVICES INC 1608 BORI,BEST GENERAL SERVICES INC 1608 BORI,437.75,2,"{""pr_contracts_master.csv"": 149, ""pr_subawards_master.csv"": 277}",prepa:best_general_services_inc_1608_bori_st_oficina,0.625,2,pr_contracts_master.csv;pr_subawards_master.csv,426,4,"{""restructuring"": 96, ""reconstruction"": 112, ""privatization"": 147, ""generation"": 71}",BEST GENERAL SERVICES INC 1608 BORI ST OFICINA,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,426
1,0.75,STAR ELECTRICAL SERVICES AND GENERAL SUPPLIES INC,STAR ELECTRICAL SERVICES AND GENERAL SUPPLIES INC,427.75,2,"{""pr_contracts_master.csv"": 155, ""pr_subawards_master.csv"": 261}",prepa:star_electrical_services_and_general_supplies_inc,0.571,2,pr_contracts_master.csv;pr_subawards_master.csv,416,4,"{""restructuring"": 103, ""reconstruction"": 118, ""privatization"": 130, ""generation"": 65}",STAR ELECTRICAL SERVICES AND GENERAL SUPPLIES INC,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,416
1,0.75,GENERAL MOTRIZ AUTO PARTS,GENERAL MOTRIZ AUTO PARTS,378.75,2,"{""pr_contracts_master.csv"": 180, ""pr_subawards_master.csv"": 187}",prepa:general_motriz_auto_parts,0.5,2,pr_contracts_master.csv;pr_subawards_master.csv,367,4,"{""restructuring"": 59, ""reconstruction"": 64, ""privatization"": 109, ""generation"": 135}",GENERAL MOTRIZ AUTO PARTS,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,367
1,0.75,AECOM,AECOM ENVIRONMENTAL CONSULTING 1178 PAYSPHERE CIRCLE,313.75,2,"{""pr_contracts_master.csv"": 56, ""pr_subawards_master.csv"": 246}",prepa:aecom_environmental_consulting_1178_paysphere_circle_chicago_il,0.25,2,pr_contracts_master.csv;pr_subawards_master.csv,302,4,"{""restructuring"": 79, ""reconstruction"": 82, ""generation"": 65, ""privatization"": 76}",AECOM ENVIRONMENTAL CONSULTING 1178 PAYSPHERE CIRCLE CHICAGO IL,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,302
1,0.75,RM GENERAL CONTRACTOR INC URB ALTURAS PENUELAS I,RM GENERAL CONTRACTOR INC URB ALTURAS PENUELAS I,294.75,2,"{""pr_contracts_master.csv"": 179, ""pr_subawards_master.csv"": 104}",prepa:rm_general_contractor_inc_urb_alturas_penuelas_i,0.375,2,pr_contracts_master.csv;pr_subawards_master.csv,283,4,"{""restructuring"": 43, ""reconstruction"": 43, ""privatization"": 94, ""generation"": 103}",RM GENERAL CONTRACTOR INC URB ALTURAS PENUELAS I,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,283
1,0.75,GENERAL MACHINERY CONTRACTORS 210,GENERAL MACHINERY CONTRACTORS 210,292.75,2,"{""pr_contracts_master.csv"": 179, ""pr_subawards_master.csv"": 102}",prepa:general_machinery_contractors_210_carr_869_ste_1,0.625,2,pr_contracts_master.csv;pr_subawards_master.csv,281,4,"{""restructuring"": 44, ""reconstruction"": 44, ""privatization"": 93, ""generation"": 100}",GENERAL MACHINERY CONTRACTORS 210 CARR 869 STE 1,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,281
2,0.75,TEC GENERAL CONTRACTORS,TEC GENERAL CONTRACTORS CORP,290.75,2,"{""pr_contracts_master.csv"": 177, ""pr_subawards_master.csv"": 102}",prepa:tec_general_contractors_corp,0.75,2,pr_contracts_master.csv;pr_subawards_master.csv,555,4,"{""restructuring"": 43, ""reconstruction"": 43, ""privatization"": 93, ""generation"": 100}",TEC GENERAL CONTRACTORS CORP,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,279
1,0.75,BLACK & VEATCH,BLACK VEATCH PUERTO RICO PSC CENTRO INTERNACIONAL,279.75,2,"{""pr_contracts_master.csv"": 42, ""pr_subawards_master.csv"": 226}",prepa:black_veatch_puerto_rico_psc_centro_internacional,0.571,2,pr_contracts_master.csv;pr_subawards_master.csv,268,4,"{""generation"": 74, ""restructuring"": 57, ""reconstruction"": 56, ""privatization"": 81}",BLACK VEATCH PUERTO RICO PSC CENTRO INTERNACIONAL,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,268
2,0.75,PUMA ENERGY CARIBE,PUMA ENERGY CARIBE LLC,102.25,3,"{""pr_contracts_master.csv"": 44, ""pr_subawards_master.csv"": 42, ""pr_prepa_contracts.csv"": 3}",prepa:puma_energy_caribe_llc_attn_victor_m_dominguez_re_sto_puma_energy_caribe_llc,0.429,3,pr_contracts_master.csv;pr_prepa_contracts.csv;pr_subawards_master.csv,178,4,"{""restructuring"": 33, ""reconstruction"": 25, ""privatization"": 15, ""generation"": 16}",PUMA ENERGY CARIBE LLC ATTN VICTOR M DOMINGUEZ RE STO PUMA ENERGY CARIBE LLC,multi_dataset_or_high_temporal_support,validated,energy_fuel,89
2,0.75,ALSTOM,ALSTOM CARIBE INC EL MUNDO,89.75,2,"{""pr_contracts_master.csv"": 40, ""pr_subawards_master.csv"": 38}",prepa:alstom_caribe_inc_el_mundo_office_building_suite,0.625,2,pr_contracts_master.csv;pr_subawards_master.csv,137,4,"{""restructuring"": 30, ""reconstruction"": 22, ""privatization"": 13, ""generation"": 13}",ALSTOM CARIBE INC EL MUNDO OFFICE BUILDING SUITE,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,78
1,0.75,ECOELECTRICA,ECOELECTRICA LP,64.75,2,"{""pr_contracts_master.csv"": 41, ""pr_subawards_master.csv"": 12}",prepa:ecoelectrica_lp_attn_carlos_reyes_plaza_scotiabank_suite,0.5,2,pr_contracts_master.csv;pr_subawards_master.csv,53,4,"{""restructuring"": 13, ""reconstruction"": 14, ""privatization"": 15, ""generation"": 11}",ECOELECTRICA LP ATTN CARLOS REYES PLAZA SCOTIABANK SUITE,multi_dataset_or_high_temporal_support,validated,energy_fuel,53
1,0.75,ALUMA SYSTEMS PUERTO RICO CORP,ALUMA SYSTEMS PUERTO RICO CORP,56.75,2,"{""pr_contracts_master.csv"": 24, ""pr_subawards_master.csv"": 21}",prepa:aluma_systems_puerto_rico_corp,0.6,2,pr_contracts_master.csv;pr_subawards_master.csv,45,4,"{""privatization"": 17, ""generation"": 11, ""restructuring"": 8, ""reconstruction"": 9}",ALUMA SYSTEMS PUERTO RICO CORP,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,45
1,0.75,ERNST & YOUNG,ERNST YOUNG LLP 1000 SCOTIABANK,20.75,2,"{""pr_contracts_master.csv"": 6, ""pr_subawards_master.csv"": 3}",prepa:ernst_young_llp_1000_scotiabank_plaza_273,0.286,2,pr_contracts_master.csv;pr_subawards_master.csv,9,4,"{""privatization"": 2, ""generation"": 4, ""restructuring"": 2, ""reconstruction"": 1}",ERNST YOUNG LLP 1000 SCOTIABANK PLAZA 273,multi_dataset_or_high_temporal_support,validated,legal,9
