alias_count,avg_confidence,canonical_name,cleaned_name,continuity_score,dataset_count,datasets,entity_id,generic_ratio,merged_dataset_count,merged_datasets,merged_temporal_edges,milestone_type_count,milestone_types,normalized_name,qa_reason,qa_status,sector,temporal_edges
,0.75,BEST GENERAL SERVICES INC,BEST GENERAL SERVICES INC,437.75,2,"{""pr_contracts_master.csv"": 149, ""pr_subawards_master.csv"": 277}",prepa:best_general_services_inc_1608_bori_st_oficina,0.75,,,,4,"{""restructuring"": 96, ""reconstruction"": 112, ""privatization"": 147, ""generation"": 71}",BEST GENERAL SERVICES INC 1608 BORI ST OFICINA,validated_signal_but_dirty_or_generic_canonical,review,infrastructure_contractor,426
,0.75,STAR ELECTRICAL SERVICES AND GENERAL SUPPLIES INC,STAR ELECTRICAL SERVICES AND GENERAL SUPPLIES INC,427.75,2,"{""pr_contracts_master.csv"": 155, ""pr_subawards_master.csv"": 261}",prepa:star_electrical_services_and_general_supplies_inc,0.571,,,,4,"{""restructuring"": 103, ""reconstruction"": 118, ""privatization"": 130, ""generation"": 65}",STAR ELECTRICAL SERVICES AND GENERAL SUPPLIES INC,validated_signal_but_dirty_or_generic_canonical,review,infrastructure_contractor,416
,0.75,RM GENERAL CONTRACTOR INC,RM GENERAL CONTRACTOR INC,294.75,2,"{""pr_contracts_master.csv"": 179, ""pr_subawards_master.csv"": 104}",prepa:rm_general_contractor_inc_urb_alturas_penuelas_i,0.75,,,,4,"{""restructuring"": 43, ""reconstruction"": 43, ""privatization"": 94, ""generation"": 103}",RM GENERAL CONTRACTOR INC URB ALTURAS PENUELAS I,validated_signal_but_dirty_or_generic_canonical,review,infrastructure_contractor,283
,0.75,GENERAL MACHINERY CONTRACTORS,GENERAL MACHINERY CONTRACTORS,292.75,2,"{""pr_contracts_master.csv"": 179, ""pr_subawards_master.csv"": 102}",prepa:general_machinery_contractors_210_carr_869_ste_1,0.625,,,,4,"{""restructuring"": 44, ""reconstruction"": 44, ""privatization"": 93, ""generation"": 100}",GENERAL MACHINERY CONTRACTORS 210 CARR 869 STE 1,validated_signal_but_dirty_or_generic_canonical,review,infrastructure_contractor,281
,0.75,PUERTO RICO ELECTRIC POWER AUTHORITY,PUERTO RICO ELECTRIC POWER AUTHORITY,291.25,3,"{""pr_contracts_master.csv"": 26, ""pr_subawards_master.csv"": 250, ""pr_prepa_contracts.csv"": 2}",prepa:puerto_rico_electric_power_authority_attention_offi_ce_of_the_general_counsel,0.333,,,,4,"{""restructuring"": 57, ""reconstruction"": 62, ""generation"": 82, ""privatization"": 77}",PUERTO RICO ELECTRIC POWER AUTHORITY ATTENTION OFFI CE OF THE GENERAL COUNSEL,public_authority_or_self_node,review,energy_fuel,278
,0.75,TEC GENERAL CONTRACTORS,TEC GENERAL CONTRACTORS CORP,290.75,2,"{""pr_contracts_master.csv"": 177, ""pr_subawards_master.csv"": 102}",prepa:tec_general_contractors_corp,0.75,,,,4,"{""restructuring"": 43, ""reconstruction"": 43, ""privatization"": 93, ""generation"": 100}",TEC GENERAL CONTRACTORS CORP,validated_signal_but_dirty_or_generic_canonical,review,infrastructure_contractor,279
,0.75,TEC GENERAL CONTRACTORS,TEC GENERAL CONSTRUCTION,287.75,2,"{""pr_contracts_master.csv"": 193, ""pr_subawards_master.csv"": 83}",prepa:tec_general_construction,0.667,,,,4,"{""restructuring"": 35, ""reconstruction"": 42, ""privatization"": 98, ""generation"": 101}",TEC GENERAL CONSTRUCTION,validated_signal_but_dirty_or_generic_canonical,review,infrastructure_contractor,276
,0.75,BLACK & VEATCH,BLACK VEATCH PUERTO RICO PSC,279.75,2,"{""pr_contracts_master.csv"": 42, ""pr_subawards_master.csv"": 226}",prepa:black_veatch_puerto_rico_psc_centro_internacional,0.857,,,,4,"{""generation"": 74, ""restructuring"": 57, ""reconstruction"": 56, ""privatization"": 81}",BLACK VEATCH PUERTO RICO PSC CENTRO INTERNACIONAL,validated_signal_but_dirty_or_generic_canonical,review,infrastructure_contractor,268
,0.75,SECRETARIO DE HACIENDA,SECRETARIO DE HACIENDA,166.75,2,"{""pr_contracts_master.csv"": 25, ""pr_subawards_master.csv"": 130}",prepa:secretario_de_hacienda_44_administracion_de_servicio_s_generales_alm_central_suminist,0.0,,,,4,"{""restructuring"": 29, ""reconstruction"": 29, ""generation"": 70, ""privatization"": 27}",SECRETARIO DE HACIENDA 44 ADMINISTRACION DE SERVICIO S GENERALES ALM CENTRAL SUMINIST,public_authority_or_self_node,review,infrastructure_contractor,155
,0.75,BLACK MOWEN IRA S,BLACK MOWEN IRA S,69.25,1,"{""pr_contracts_master.csv"": 59}",prepa:black_mowen_ira_s_address_on_file,0.429,,,,4,"{""generation"": 32, ""privatization"": 23, ""restructuring"": 2, ""reconstruction"": 2}",BLACK MOWEN IRA S ADDRESS ON FILE,person_or_address_on_file,review,infrastructure_contractor,59
